

gen best mean std
0 57.031292 -0.706161 11.811036
1 66.57505 57.126858 0.949579
2 66.57505 57.222398 1.336094
3 66.57505 57.964461 2.786747
4 66.57505 59.534248 4.10786
5 66.597323 61.306523 4.611146
6 66.597323 66.249126 0.255744
7 66.606372 66.470622 0.18846
8 66.732142 66.587809 0.018627
9 75.02619 66.684688 0.838587
10 75.592828 67.19929 2.170294
11 86.335744 67.925586 3.429846
12 86.335744 68.361133 3.750799
13 86.335744 69.195043 4.664079
14 87.319358 71.301302 5.775959
15 87.319358 74.689313 5.52694
16 87.319358 77.818893 4.785482
17 87.319358 80.369776 5.499933
18 87.319358 83.548496 4.842342
19 87.319358 86.49802 0.325884
20 87.319358 86.609218 0.353345
21 87.319358 86.757884 0.334533
22 87.319358 86.936951 0.291265
23 87.319358 87.050316 0.290915
24 87.319358 87.263423 0.129619
