

gen best mean std
0 57.624722 -2.998889 8.185247
1 85.835317 61.946944 4.985576
2 87.461098 67.765535 5.102358
3 89.119688 71.312011 8.220571
4 89.906611 75.925368 9.026607
5 89.906611 84.690622 4.181811
6 90.696796 87.103732 0.972261
7 90.696796 87.706209 0.89791
8 90.696796 87.934795 0.825031
9 90.696796 88.244624 0.912104
10 90.696796 89.076102 0.785289
11 90.696796 89.481735 0.618413
12 90.696796 89.632691 0.658483
13 90.981683 90.158781 0.604543
14 90.981683 90.553212 0.25208
15 90.981683 90.707743 0.053768
16 90.981683 90.713889 0.067657
17 90.981683 90.713889 0.067657
18 90.981683 90.713889 0.067657
19 90.981683 90.725285 0.085466
20 90.981683 90.730983 0.092577
21 90.981683 90.753774 0.113955
22 90.981683 90.805053 0.13828
23 90.981683 90.86203 0.140608
24 90.981683 90.933252 0.107013
