

gen best mean std
0 66.548962 -1.381166 12.269048
1 85.487427 67.506114 3.566121
2 89.171732 70.44043 6.613999
3 89.163229 75.683917 8.433402
4 89.296695 85.211733 3.411935
5 89.666611 87.124428 1.102705
6 89.666611 87.948003 0.646465
7 89.666611 88.360762 0.453921
8 89.666611 88.573283 0.489463
9 89.966611 88.823925 0.423527
10 90.216796 89.101588 0.164377
11 90.216796 89.236978 0.213765
12 90.216796 89.293986 0.270397
13 90.216796 89.358837 0.288568
14 90.216796 89.454542 0.311947
15 90.741683 89.593657 0.367993
16 90.741683 89.727914 0.369302
17 90.263414 89.858092 0.342502
18 90.752892 90.071999 0.245722
19 90.263414 90.202041 0.066645
20 90.326611 90.224474 0.020592
21 90.326611 90.230234 0.025304
22 90.326611 90.241299 0.03357
23 90.326611 90.256786 0.032716
24 90.326611 90.275204 0.02437
