

gen best mean std
0 56.940877 -0.918012 12.342634
1 87.379358 68.999823 5.866322
2 87.379358 75.644902 4.015322
3 87.379358 78.550309 5.394044
4 89.163246 83.651397 5.17886
5 88.139827 87.104329 0.282805
6 89.61289 87.238254 0.308255
7 88.139827 87.303616 0.254768
8 88.139827 87.40274 0.30986
9 88.139827 87.589625 0.282675
10 89.873263 87.74881 0.361634
11 90.177582 87.917108 0.467514
12 90.177582 88.098221 0.451557
13 90.177582 88.244301 0.418639
14 90.177582 88.295019 0.508449
15 90.177582 88.353082 0.569727
16 90.566695 88.511913 0.72156
17 90.648962 88.676087 0.804229
18 90.648962 89.100267 0.794229
19 90.772977 89.508248 0.67016
20 90.772977 89.831394 0.419774
21 90.986602 90.118756 0.285405
22 90.986602 90.248296 0.19343
23 90.986602 90.283865 0.237535
24 91.046602 90.327215 0.268434
