

gen best mean std
0 70.057419 -0.594582 13.183075
1 86.93812 72.142809 3.525667
2 86.93812 75.649274 4.093912
3 87.287024 79.344759 3.431437
4 87.496694 81.295776 4.241658
5 88.714728 85.921411 2.002276
6 89.655889 86.990453 0.64373
7 89.655889 87.349252 0.574101
8 90.257569 87.874133 0.75351
9 90.257569 88.4691 0.796625
10 90.257569 89.041338 0.608542
11 90.257569 89.571241 0.374716
12 90.257569 89.776871 0.312294
13 90.351281 90.006304 0.282644
14 90.257569 90.214645 0.130305
15 90.257569 90.257569 0.0
16 90.257569 90.257569 0.0
17 90.257569 90.257569 0.0
18 90.257569 90.257569 0.0
19 90.257569 90.257569 0.0
20 90.257569 90.257569 0.0
21 90.257569 90.257569 0.0
22 90.257569 90.257569 0.0
23 90.257569 90.257569 0.0
24 90.257569 90.257569 0.0
