

gen best mean std
0 63.16478 -0.854705 14.141047
1 63.167353 63.164806 0.000256
2 67.672705 63.209885 0.44853
3 67.672705 63.216498 0.45256
4 67.672705 63.215098 0.45054
5 67.731899 63.301438 0.772232
6 67.731899 63.539496 1.227291
7 70.219413 63.898605 1.687377
8 70.53672 64.59249 2.200238
9 70.53672 65.832815 2.58842
10 70.53672 68.409811 1.087483
11 70.765353 69.063223 1.19718
12 70.765353 70.173615 0.242971
13 70.765353 70.363759 0.136337
14 70.710161 70.475831 0.091185
15 70.710161 70.545859 0.052929
16 70.868134 70.580448 0.062619
17 87.841588 70.784087 1.715296
18 87.841588 70.816933 1.712179
19 87.841588 70.83559 1.710357
20 87.841588 71.190622 2.928774
21 87.841588 72.254288 4.902327
22 87.841588 73.53212 6.233928
23 87.841588 75.646586 7.580303
24 87.841588 79.168572 8.427473
