

gen best mean std
0 65.950267 -0.435925 12.139153
1 65.993647 65.961539 0.015885
2 66.011039 65.982182 0.009424
3 66.219256 65.991358 0.031545
4 74.993647 66.088853 0.895896
5 74.993647 66.377277 1.760634
6 86.429357 67.174854 3.622118
7 86.429357 69.502028 5.813009
8 87.591858 72.763102 6.647512
9 87.591858 78.318247 5.308007
10 87.616175 86.962227 0.463402
11 87.616175 87.308161 0.203003
12 87.616175 87.485101 0.173709
13 88.530571 87.602704 0.093433
14 88.530571 87.621721 0.159953
15 88.530571 87.623667 0.159726
16 88.530571 87.648716 0.205611
17 88.530571 87.688259 0.258289
18 89.114823 87.742364 0.322661
19 90.138736 87.816318 0.416304
20 90.138736 87.970555 0.545454
21 90.138736 88.316378 0.586501
22 90.138736 88.562872 0.50893
23 90.138736 88.808978 0.484788
24 90.138736 89.066957 0.559992
