

gen best mean std
0 63.817888 0.388259 13.706259
1 87.358949 65.153271 3.795445
2 87.358949 67.012489 4.712766
3 87.358949 70.338307 5.541845
4 87.358949 72.432322 5.268265
5 87.358949 73.517432 5.889289
6 87.358949 76.454018 6.846996
7 87.389199 81.058996 5.406634
8 87.431135 83.440741 4.340181
9 87.431135 86.869888 0.622364
10 87.431135 87.362558 0.015733
11 87.463691 87.367027 0.024389
12 87.463691 87.378899 0.036966
13 87.463691 87.394051 0.045307
14 87.719743 87.410206 0.054944
15 87.719743 87.448383 0.056476
16 87.719743 87.472543 0.063776
17 87.719743 87.481614 0.065331
18 87.719743 87.494417 0.083207
19 87.719743 87.507647 0.096082
20 87.719743 87.546055 0.119224
21 88.538721 87.579386 0.157653
22 88.538721 87.679844 0.208467
23 88.538721 87.768882 0.194497
24 88.538721 87.777071 0.20896
