

gen best mean std
0 66.054579 0.602753 14.449026
1 66.078422 66.054818 0.002372
2 66.606372 66.062988 0.06069
3 66.319827 66.062775 0.045268
4 75.197882 66.525734 1.9793
5 88.026794 67.853662 3.951899
6 89.531732 70.254257 5.567606
7 89.531732 75.143372 6.102319
8 89.531732 79.487101 5.736686
9 89.531732 84.294737 5.117029
10 89.883229 87.790525 1.014778
11 89.883229 88.531597 0.813842
12 89.883229 89.125811 0.368778
13 90.076695 89.370688 0.1652
14 89.883229 89.444717 0.146459
15 89.966611 89.550027 0.104748
16 89.966611 89.588015 0.109535
17 89.966611 89.634649 0.138238
18 89.966611 89.696957 0.159186
19 90.261683 89.809219 0.142129
20 90.261683 89.886313 0.101953
21 90.141683 89.945931 0.046921
22 90.141683 89.977642 0.041775
23 90.141683 89.979225 0.042323
24 90.141683 89.992367 0.057141
