

gen best mean std
0 66.241098 -1.679154 12.606521
1 75.049357 66.417108 1.232071
2 75.049357 66.595413 1.724224
3 75.049357 66.859291 2.244037
4 75.049357 66.695134 1.912384
5 75.049357 67.152574 2.630293
6 87.25704 68.799063 4.255265
7 87.25704 72.266795 5.715461
8 87.25704 77.156593 4.434703
9 89.306611 80.476474 5.645106
10 88.082832 85.679609 2.736454
11 88.879688 87.106833 0.352471
12 89.88188 87.334664 0.431065
13 89.88188 87.60594 0.675369
14 89.88188 88.041197 0.793421
15 89.883229 88.642088 0.66484
16 89.883229 89.08245 0.414289
17 89.88188 89.203 0.370521
18 89.88188 89.371193 0.366276
19 89.88188 89.494653 0.354185
20 89.88188 89.736387 0.23158
21 89.88188 89.873465 0.028536
22 89.88188 89.88188 0.0
23 89.88188 89.88188 0.0
24 89.88188 89.88188 0.0
