

gen best mean std
0 66.054579 -1.034392 11.606226
1 87.139358 66.269806 2.097626
2 87.139358 66.383396 2.281422
3 90.086611 67.175657 4.372615
4 90.086611 69.083341 6.485811
5 90.086611 71.970283 7.749116
6 90.086611 77.929455 7.639251
7 90.086611 84.014128 5.64551
8 90.086611 88.020542 1.027
9 90.146611 88.848915 0.783006
10 90.146611 89.317184 0.627653
11 90.303229 89.847803 0.318651
12 90.303229 90.047953 0.084866
13 90.303229 90.103543 0.03752
14 90.303229 90.119641 0.050864
15 90.303229 90.138506 0.05894
16 90.303229 90.165303 0.06015
17 90.303229 90.185765 0.067818
18 90.303229 90.195162 0.072435
19 90.303229 90.22492 0.078309
20 90.303229 90.256243 0.071772
21 90.303229 90.303229 0.0
22 90.303229 90.303229 0.0
23 90.303229 90.303229 0.0
24 90.303229 90.303229 0.0
