

gen best mean std
0 70.585296 2.057552 20.467261
1 86.396168 70.65932 1.747134
2 86.396168 71.804145 3.457073
3 86.396168 73.181464 4.850501
4 87.288733 76.222534 6.01828
5 88.054797 81.545933 4.192543
6 89.012092 85.89837 1.448587
7 89.444742 86.690189 0.766759
8 89.444742 87.279047 0.920272
9 89.511917 87.978808 0.782695
10 89.444742 88.500706 0.390705
11 89.692794 88.820534 0.341911
12 89.9414 89.022841 0.324681
13 89.692794 89.159009 0.287121
14 90.469661 89.349105 0.252973
15 90.469661 89.47907 0.239412
16 90.469661 89.573467 0.231933
17 90.469661 89.724024 0.304521
18 90.469661 89.876829 0.27915
19 90.469661 90.052404 0.191774
20 90.713949 90.170387 0.201409
21 90.713949 90.256504 0.182563
22 90.713949 90.328581 0.135404
23 90.685261 90.43378 0.087175
24 90.685261 90.473973 0.030184
