

gen best mean std
0 77.72641 -0.530374 14.380095
1 86.961468 78.070949 1.642037
2 86.430481 78.14181 1.755327
3 87.063386 79.36904 3.245406
4 88.405383 81.009961 4.057413
5 88.405383 85.163074 2.752009
6 88.405383 86.571497 0.588956
7 89.893312 86.857776 0.605339
8 89.893312 87.264175 0.717342
9 89.893312 87.621337 0.717252
10 89.893312 88.001403 0.605525
11 89.893312 88.423707 0.627044
12 89.893312 88.884244 0.633402
13 89.893312 89.289017 0.622589
14 89.893312 89.693916 0.338956
15 89.893312 89.893312 0.0
16 89.993618 89.895318 0.014043
17 89.993618 89.898327 0.021861
18 89.993618 89.901336 0.027212
19 89.993618 89.906351 0.033733
20 89.993618 89.916382 0.042212
21 89.993618 89.933434 0.04914
22 89.993618 89.963526 0.045966
23 89.993618 89.993618 0.0
24 89.993618 89.993618 0.0
