

gen best mean std
0 70.322524 0.017553 14.749827
1 87.356746 70.971884 3.129862
2 87.356746 72.105235 4.75202
3 87.356746 74.927311 6.358262
4 88.126089 82.09604 5.226965
5 89.489368 87.240378 0.558746
6 89.223025 87.571206 0.436301
7 90.11935 87.81583 0.617214
8 90.11935 88.282001 0.609086
9 90.11935 88.767358 0.471335
10 90.11935 89.044783 0.280646
11 90.173968 89.277286 0.249539
12 90.173968 89.38742 0.24973
13 90.173968 89.507519 0.217219
14 90.173968 89.604966 0.204752
15 90.173968 89.647406 0.222732
16 90.173968 89.771291 0.271407
17 90.233733 89.872487 0.265533
18 90.56446 90.059844 0.147598
19 90.505908 90.130125 0.075667
20 90.56446 90.170038 0.057224
21 90.56446 90.22358 0.120604
22 90.56446 90.259329 0.147974
23 90.56446 90.350253 0.17043
24 90.56446 90.442139 0.145481
