

gen best mean std
0 69.787197 -1.354672 11.205598
1 86.807081 70.423848 2.326531
2 88.169371 71.244791 3.54266
3 88.169371 73.196888 5.554341
4 88.656524 75.937338 6.372945
5 88.681849 83.320777 4.982768
6 91.047502 87.210681 2.028469
7 89.490157 88.126382 0.433956
8 90.112865 88.369104 0.417472
9 89.905541 88.440539 0.4781
10 89.905541 88.61092 0.553121
11 89.905541 88.922332 0.591417
12 89.905541 89.215767 0.45841
13 90.058579 89.560142 0.30686
14 90.058579 89.788892 0.193717
15 90.058579 89.913407 0.031923
16 90.058579 89.924891 0.047446
17 90.058579 89.931069 0.054745
18 90.058579 89.9377 0.058178
19 90.058579 89.961503 0.066928
20 90.058579 89.991625 0.066604
21 90.058712 90.032632 0.035702
22 90.105399 90.048448 0.013666
23 90.152931 90.058047 0.013166
24 90.074961 90.059562 0.003891
