

gen best mean std
0 70.88712 0.543564 15.168668
1 86.471237 78.520111 6.622533
2 87.168061 85.619501 0.54206
3 87.168061 85.970789 0.41659
4 87.569917 86.300622 0.308592
5 89.448111 86.519843 0.426694
6 89.448111 86.655401 0.579998
7 90.173883 86.840425 0.749064
8 90.113963 87.103259 0.780743
9 90.113963 87.496063 0.897305
10 90.113963 88.198602 0.847249
11 90.113963 88.792551 0.73477
12 90.129938 89.193609 0.459569
13 90.113963 89.50606 0.274357
14 90.405048 89.678628 0.247559
15 90.405048 89.757225 0.255067
16 90.405048 89.904768 0.236196
17 90.405048 89.988636 0.184794
18 90.405048 90.032421 0.1451
19 90.405048 90.134142 0.055065
20 90.405048 90.142663 0.069628
21 90.405048 90.162996 0.086698
22 90.405048 90.178696 0.093996
23 90.405048 90.185811 0.084593
24 90.405048 90.206558 0.082152
