

gen best mean std
0 75.003548 1.247938 17.507351
1 87.514 75.244402 1.656771
2 87.537882 75.838886 2.978239
3 87.537882 77.66376 4.920145
4 89.403229 80.588339 5.934901
5 89.403229 82.91257 5.521678
6 90.032892 87.076706 0.806305
7 90.032892 87.679887 0.890962
8 90.032892 87.928811 0.992446
9 90.086611 88.280678 1.058126
10 90.086611 88.683369 1.036253
11 90.086611 89.580386 0.292579
12 90.086611 89.748055 0.307943
13 90.086611 90.019778 0.08184
14 90.086611 90.066198 0.026074
15 90.086611 90.086611 0.0
16 90.086611 90.086611 0.0
17 90.086611 90.086611 0.0
18 90.086611 90.086611 0.0
19 90.086611 90.086611 0.0
20 90.086611 90.086611 0.0
21 90.086611 90.086611 0.0
22 90.086611 90.086611 0.0
23 90.086611 90.086611 0.0
24 90.086611 90.086611 0.0
