

gen best mean std
0 70.214398 -0.552719 15.049808
1 86.180196 73.520091 3.668004
2 86.180196 78.093352 2.044182
3 86.993136 79.170051 3.102781
4 89.8061 81.102982 4.062773
5 89.8061 84.360721 3.631856
6 89.8061 86.99425 1.050495
7 89.8061 87.792166 1.043389
8 89.8061 88.079045 0.838367
9 89.985732 88.651834 0.800213
10 89.985732 89.159027 0.671981
11 90.084319 89.747104 0.13702
12 90.424223 89.846608 0.109286
13 90.884337 89.868969 0.154943
14 90.884337 89.94515 0.21351
15 90.884337 89.991009 0.190961
16 90.884337 90.10456 0.206054
17 90.884337 90.174747 0.202759
18 90.888555 90.272384 0.211257
19 90.884337 90.322771 0.187493
20 90.884337 90.462904 0.172695
21 90.884337 90.551279 0.213033
22 90.888555 90.676893 0.22789
23 90.888555 90.839161 0.13037
24 90.951909 90.885266 0.006772
