

gen best mean std
0 67.730804 0.859543 15.673405
1 77.665163 68.035132 1.437267
2 85.542849 68.78568 2.912481
3 86.107569 69.649711 3.945038
4 86.107569 71.831639 5.265786
5 87.612908 74.734026 5.727204
6 88.337005 77.706928 5.703042
7 89.84131 82.625325 4.088483
8 89.84131 84.637735 3.113242
9 89.84131 86.617406 1.274897
10 89.84131 87.456867 0.954601
11 89.84131 87.944477 0.599423
12 90.21935 88.321937 0.660728
13 90.21935 88.665222 0.59348
14 90.21935 88.980718 0.54118
15 90.21935 89.245635 0.473529
16 90.21935 89.545808 0.267689
17 90.53857 89.746923 0.284167
18 90.53857 89.995395 0.226196
19 90.53857 90.1173 0.244087
20 90.53857 90.245899 0.188382
21 90.53857 90.333591 0.145117
22 90.53857 90.374596 0.149425
23 90.53857 90.469664 0.118801
24 90.53857 90.537849 0.005048
